id_pnl,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_bal,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id_x,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,id_y,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,fcf_yield_pct,company_name,broad_sector,sub_sector,market_cap_category,sector_median_pe,valuation_status,valuation_score,investment_rating
431,DIVISLAB,2019,4946,3072,1874.0,38.0,154,5,169,1855,27.0,1353,51.0,31.0,509.0,53.0,6904.0,106.0,973.0,8036.0,2088.0,492.0,1946.0,3511.0,8036.0,416.0,954.0,-685.0,-246.0,23.0,27.35543873837444,37.88920339668419,19.44803794739112,0.015236452493891,405.6,0.6154803384768541,269.0,685.0,51.0,69.57,31.0,106.0,954.0,,0,0,0,163.0,1011018.76,1179809.82,74.55,13.82,30.19,0.22,0.02660682577245154,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,Large Cap,37.955,Caution,0,Avoid
432,DIVISLAB,2020,5394,3568,1826.0,34.0,186,7,186,1819,24.0,1377,52.0,31.0,510.0,53.0,7257.0,39.0,1183.0,8531.0,2782.0,920.0,971.0,3858.0,8531.0,417.0,1216.0,-83.0,-1091.0,41.0,25.528364849833142,33.85242862439748,18.83720930232558,0.0053351573187414,287.42857142857144,0.6322822646817489,1133.0,83.0,52.0,73.1,31.0,39.0,1216.0,,0,0,0,164.0,1300303.75,1512398.18,30.35,3.22,9.07,0.23,0.08713348707946124,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,Large Cap,37.955,Fair,20,Avoid
433,DIVISLAB,2021,6969,4102,2867.0,41.0,57,2,256,2666,26.0,1984,75.0,27.0,511.0,53.0,9242.0,5.0,1471.0,10771.0,3704.0,711.0,0.0,6356.0,10771.0,418.0,1947.0,75.0,-35.0,1987.0,28.46893384990673,41.13933132443679,21.34480903711673,0.0005379236148466,1462.0,0.6470151332281125,2022.0,75.0,75.0,92.95,27.0,5.0,1947.0,,0,0,0,165.0,1595539.83,1586504.61,9.75,6.26,21.89,0.76,0.1267282685133595,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,Large Cap,37.955,Discount,0,Avoid
434,DIVISLAB,2022,8960,5075,3885.0,43.0,112,2,312,3684,20.0,2960,112.0,27.0,512.0,53.0,11675.0,4.0,1628.0,13360.0,4325.0,470.0,72.0,8493.0,13360.0,419.0,1912.0,-2195.0,-532.0,-816.0,33.035714285714285,43.359375,25.2387448840382,0.0003410641200545,1998.5,0.6706586826347305,-283.0,2195.0,112.0,117.28,27.0,4.0,1912.0,,0,0,0,166.0,1391349.3,1357470.21,56.9,1.69,24.43,0.66,-0.020339967828351947,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,Large Cap,37.955,Fair,20,Avoid
435,DIVISLAB,2023,7767,5397,2370.0,31.0,344,2,343,2369,23.0,1824,69.0,44.0,513.0,53.0,12714.0,4.0,1654.0,14425.0,4722.0,212.0,77.0,9414.0,14425.0,420.0,2459.0,-2707.0,-797.0,-1045.0,23.483970645036692,30.513711857860176,14.286833241951909,0.000313307746534,1357.0,0.5384402079722703,-248.0,2707.0,69.0,127.67,44.0,4.0,2459.0,,0,0,0,167.0,1318782.9,1394258.36,15.26,3.01,17.21,1.48,-0.018805218053706944,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,Large Cap,37.955,Discount,0,Avoid
436,DIVISLAB,2024,7845,5635,2210.0,28.0,335,4,378,2163,26.0,1600,60.0,50.0,514.0,53.0,13518.0,3.0,1886.0,15460.0,4739.0,778.0,82.0,9861.0,15460.0,421.0,1261.0,-269.0,-799.0,193.0,20.39515615041428,28.17080943275972,11.78984599513669,0.0002210596124088,636.25,0.5074385510996119,992.0,269.0,60.0,135.71,50.0,3.0,1261.0,12.65,0,0,0,168.0,1615028.67,1501836.03,69.95,12.34,31.81,1.39,0.061423058204904804,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,Large Cap,37.955,Caution,0,Avoid
444,DLF,2019,8366,6218,2148.0,26.0,784,2062,225,646,43.0,1314,6.0,33.0,522.0,441.0,33135.0,17222.0,15684.0,66483.0,6322.0,103.0,21005.0,39053.0,66483.0,428.0,2043.0,3.0,875.0,2921.0,15.706430791298112,25.67535261773847,3.913509649749821,0.5129258994519895,1.4219204655674105,0.1258366800535475,2046.0,3.0,6.0,335.76,33.0,17222.0,2043.0,,0,0,0,169.0,1162826.35,1104410.24,11.24,14.12,15.78,4.13,0.1759506051784946,DLF Ltd,Real Estate,Real Estate,Large Cap,49.505,Discount,0,Avoid
445,DLF,2020,6083,4937,1146.0,19.0,1135,1427,200,653,99.0,-590,-2.0,-85.0,523.0,495.0,33952.0,8103.0,13341.0,55890.0,5187.0,89.0,18566.0,32049.0,55890.0,429.0,356.0,6508.0,-9522.0,-2658.0,-9.699161597895776,18.839388459641626,-1.7127761488663744,0.2352309344790547,1.598458304134548,0.1088387904813025,6864.0,6508.0,-2.0,344.47,-85.0,8103.0,356.0,,0,0,0,170.0,1146903.51,1448569.4,73.08,13.89,22.37,3.9,0.5984810352529133,DLF Ltd,Real Estate,Real Estate,Large Cap,49.505,Fair,0,Avoid
446,DLF,2021,5414,3945,1469.0,27.0,383,853,159,840,43.0,1083,4.0,45.0,524.0,495.0,34849.0,6886.0,11258.0,53488.0,4856.0,95.0,19746.0,28791.0,53488.0,430.0,1460.0,150.0,-2184.0,-573.0,20.003694126339123,27.133357960842257,3.0641693073789047,0.1948279764599366,2.17116060961313,0.1012189650014956,1610.0,150.0,4.0,353.44,45.0,6886.0,1460.0,,0,0,0,171.0,1520086.36,1565456.04,38.16,10.93,15.51,3.39,0.10591503498524912,DLF Ltd,Real Estate,Real Estate,Large Cap,49.505,Fair,0,Avoid
447,DLF,2022,5717,3974,1743.0,30.0,195,625,149,1165,28.0,1500,6.0,49.0,525.0,495.0,35867.0,4182.0,10623.0,51167.0,4862.0,81.0,19779.0,26444.0,51167.0,431.0,2832.0,267.0,-3828.0,-729.0,26.237537169844323,30.488018191359107,4.125185633353501,0.1150101754578956,3.1008,0.111732171125921,3099.0,267.0,6.0,363.62,49.0,4182.0,2832.0,,0,0,0,172.0,1348234.63,1495730.62,16.81,4.75,14.05,3.78,0.22985613416560885,DLF Ltd,Real Estate,Real Estate,Large Cap,49.505,Discount,20,Avoid
