Rank,company_id,broad_sector,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,asset_turnover,sales,score
86,GRASIM,Industrials,14.803365962562252,0.9873842454986196,21.34878423422953,0.3309746877907238,95701,29.58805461971282
87,SIEMENS,Industrials,10.52478979414323,0.000386585483715,11.001666919230187,0.7326117124618373,13198,28.848707983154643
88,GRASIM,Industrials,11.158167675021607,0.5155574762316335,16.209743492783765,0.5873077563711065,31734,28.085413969200104
89,BEL,Industrials,0.0,0.0,26.45654692931634,0.0,21575,26.45654692931634
90,BHEL,Industrials,10.557414609146544,0.1414790027433601,11.574530471929426,0.5251622837875509,39561,25.96877789151788
91,GRASIM,Industrials,10.6681528078908,1.2074083122118056,24.39008428878069,0.2857837508275699,76404,25.841991482829137
92,ABB,Industrials,0.0,0.0,25.502802505769868,0.0,6066,25.502802505769868
93,SIEMENS,Industrials,13.782857142857145,0.0,1.1144409065368046,1.037706511175899,10678,25.27436316115294
94,SIEMENS,Industrials,8.1015592077539,0.0,10.08445606273879,0.6271122320302648,9946,24.457137590795337
95,GRASIM,Industrials,14.068730791699474,1.3085646795864976,18.353779319373952,0.3492249638534185,117627,22.829112953742637
96,GRASIM,Industrials,0.0,0.0,20.060386825753376,0.0,137116,20.060386825753376
97,GRASIM,Industrials,11.196462612658342,1.547099364939709,20.763028905617738,0.3178182841724175,130978,19.666680710603167
98,GRASIM,Industrials,6.429455553424801,1.1692613448161644,20.775038465667155,0.2688517020283887,55894,18.200397591214198
99,HAL,Industrials,0.0,0.0,14.945963127781308,0.0,15730,14.945963127781308
100,BHEL,Industrials,4.238898471073172,0.0552226152541877,6.835232895955048,0.4412746714001944,31323,14.934651928488288
101,GRASIM,Industrials,4.731127197518097,1.4561702861082386,21.55440414507772,0.3201632334827705,77200,14.925460816341134
102,GRASIM,Industrials,11.722847103279006,1.4969540727137889,15.19808943327668,0.2795139670981771,68252,14.746535480399569
103,BHEL,Industrials,3.2422987315557856,0.0840667874708775,6.675207778982293,0.4720266708016746,30441,13.79710534384605
104,ADANIENT,Industrials,0.0,0.0,13.579185033867326,0.0,102311,13.579185033867326
105,ADANIENT,Industrials,6.136779370980115,0.7328140673865581,5.285348939013432,0.9259306666666668,43403,13.353294302794634
106,LT,Industrials,0.0,0.0,12.899728316609524,0.0,238881,12.899728316609524
107,BHEL,Industrials,1.3545693520952529,0.0034018865006958,5.734207513789156,0.450844541757898,28827,11.563203418456432
108,ADANIENT,Industrials,6.0959263360335685,0.9456844804475786,6.338366593317652,0.7659685762442606,39537,10.63713388731804
109,HAL,Industrials,0.0,0.0,10.373306904525933,0.0,15135,10.373306904525933
110,ADANIENT,Industrials,3.429113580916238,0.7619273515857956,4.876297085118502,0.9492900131653188,40379,10.179037281829972
111,BHEL,Industrials,1.4047979252215257,0.0048164500293309,3.846829439662744,0.4613601737495543,28465,9.817064602086504
112,HAVELLS,Industrials,0.0,0.0,9.711273395560283,0.0,20677,9.711273395560283
113,ADANIENT,Industrials,8.534650424813185,1.671358378544375,11.799296833677312,0.6004321671876751,96421,9.624685144923495
114,BHEL,Industrials,2.682746738862909,0.2237263106079251,4.468221699122619,0.4051921476137625,23365,8.9656268080439
115,BHEL,Industrials,1.678865162604693,0.1822228929299026,3.9036349064164817,0.3721815725289958,21211,7.482086865012107
116,ADANIENT,Industrials,7.328068742246831,1.6096335965628876,6.913909361768857,0.902759099081244,127540,7.173233129199254
117,ADANIENT,Industrials,7.474958887726117,1.4328748691882194,4.951776052693484,0.8159504786583172,34008,6.257491035120579
118,HAL,Industrials,0.0,0.0,5.360134003350084,0.0,14328,5.360134003350084
119,ADANIENT,Industrials,6.543576683644596,1.4746745897000566,5.206251881860236,0.7673226775325029,36533,4.676309443829296
120,BHEL,Industrials,1.1539405843358703,0.3623864473361158,2.9757669610346125,0.399628688031043,23893,4.5021299523197555
121,ADANIENT,Industrials,3.936642587315263,1.1688647359003248,5.673087629439929,0.6368938923854268,35924,4.290021781606212
122,BHEL,Industrials,0.0,0.0,4.064568575078388,0.0,25833,4.064568575078388
123,ADANIENT,Industrials,11.1377699204445,3.0298438355011155,17.07645549347553,0.4652503767929417,54947,2.5682908268382967
124,ADANIENT,Industrials,8.931902985074627,3.248250932835821,19.312805398278137,0.4931608500742055,64465,0.6938075557366084
125,ADANIENT,Industrials,3.5404591813811384,1.8692546165251385,5.3500432152117545,0.6833618805740949,69420,-2.9684249629175437
126,BHEL,Industrials,-2.1847439269689,0.0065294754757852,-5.320525387178984,0.3889320950943166,25505,-3.6812431179625698
127,BHEL,Industrials,-5.12212142358688,0.1772505233775296,-0.6196710618273308,0.3559901146108042,21463,-3.954396573081465
128,ADANIENT,Industrials,5.692652832305104,3.240418769863526,12.983288409703505,0.4145399612053168,46375,-9.582846844573478
129,BHEL,Industrials,-10.391409767925182,0.1905476657814725,-17.615113524755905,0.3093102215868477,17309,-26.818897734627335
