company,operating_cf,investing_cf,free_cash_flow,capex_intensity,fcf_conversion
HAL,8226.0,-6412.0,1814.0,77.95,22.05
HAVELLS,1953.0,-1618.0,335.0,82.85,17.15
HCLTECH,22448.0,-6608.0,15840.0,29.44,70.56
HDFCBANK,19069.0,16600.0,35669.0,87.05,187.05
HDFCLIFE,10721.0,-13614.0,-2893.0,126.98,-26.98
HEROMOTOCO,4923.0,-1828.0,3095.0,37.13,62.87
HINDALCO,24056.0,-14267.0,9789.0,59.31,40.69
HINDUNILVR,15469.0,-5324.0,10145.0,34.42,65.58
ICICIBANK,157284.0,-144737.0,12547.0,92.02,7.98
ICICIGI,2407.0,-1921.0,486.0,79.81,20.19
ICICIPRULI,-7315.0,7420.0,105.0,-101.44,-1.44
INDIGO,21183.0,-11759.0,9424.0,55.51,44.49
INDUSINDBK,-16843.0,-625.0,-17468.0,-3.71,103.71
INFY,25210.0,-5093.0,20117.0,20.2,79.8
IOC,71099.0,-31464.0,39635.0,44.25,55.75
IRCTC,882.0,-215.0,667.0,24.38,75.62
IRFC,7914.0,-8.0,7906.0,0.1,99.9
ITC,17179.0,1563.0,18742.0,9.1,109.1
JINDALSTEL,6008.0,-8344.0,-2336.0,138.88,-38.88
JIOFIN,-678.0,1441.0,763.0,-212.54,-112.54
JSWENERGY,6234.0,-8197.0,-1963.0,131.49,-31.49
JSWSTEEL,12078.0,-14467.0,-2389.0,119.78,-19.78
KOTAKBANK,15685.0,-8919.0,6766.0,56.86,43.14
LICI,26122.0,-25269.0,853.0,96.73,3.27
LODHA,2512.0,-2947.0,-435.0,117.32,-17.32
LT,18266.0,2179.0,20445.0,11.93,111.93
LTIM,5670.0,-3918.0,1752.0,69.1,30.9
M&M,-5630.0,-5615.0,-11245.0,-99.73,199.73
MARUTI,16801.0,-11865.0,4936.0,70.62,29.38
MOTHERSON,7569.0,-6644.0,925.0,87.78,12.22
NAUKRI,702.0,-852.0,-150.0,121.37,-21.37
NESTLEIND,4175.0,-1237.0,2938.0,29.63,70.37
NHPC,6938.0,-5968.0,970.0,86.02,13.98
NTPC,40785.0,-32141.0,8644.0,78.81,21.19
ONGC,99263.0,-57203.0,42060.0,57.63,42.37
PFC,-97820.0,-3409.0,-101229.0,-3.48,103.48
PIDILITIND,2724.0,-1769.0,955.0,64.94,35.06
PNB,-27939.0,-1506.0,-29445.0,-5.39,105.39
POWERGRID,37290.0,-13114.0,24176.0,35.17,64.83
RECLTD,-57723.0,-1831.0,-59554.0,-3.17,103.17
RELIANCE,158788.0,-113581.0,45207.0,71.53,28.47
SBILIFE,29122.0,-31221.0,-2099.0,107.21,-7.21
SBIN,21632.0,-3476.0,18156.0,16.07,83.93
SHREECEM,3347.0,-1418.0,1929.0,42.37,57.63
SHRIRAMFIN,-31101.0,-258.0,-31359.0,-0.83,100.83
SIEMENS,1670.0,-502.0,1168.0,30.06,69.94
SUNPHARMA,12135.0,-763.0,11372.0,6.29,93.71
TATACONSUM,1937.0,-1911.0,26.0,98.66,1.34
TATAMOTORS,67915.0,-22782.0,45133.0,33.54,66.46
TATAPOWER,12596.0,-9027.0,3569.0,71.67,28.33
TATASTEEL,20301.0,-14253.0,6048.0,70.21,29.79
TCS,44338.0,6091.0,50429.0,13.74,113.74
TECHM,6376.0,-1318.0,5058.0,20.67,79.33
TITAN,1695.0,-189.0,1506.0,11.15,88.85
TORNTPHARM,3266.0,-160.0,3106.0,4.9,95.1
TRENT,1349.0,-508.0,841.0,37.66,62.34
TVSMOTOR,-1253.0,-1001.0,-2254.0,-79.89,179.89
ULTRACEMCO,10898.0,-8789.0,2109.0,80.65,19.35
UNIONBANK,19930.0,-1394.0,18536.0,6.99,93.01
UNITDSPR,1118.0,226.0,1344.0,20.21,120.21
VBL,2391.0,-3288.0,-897.0,137.52,-37.52
VEDL,35654.0,-13676.0,21978.0,38.36,61.64
WIPRO,17622.0,1144.0,18766.0,6.49,106.49
ZOMATO,646.0,-348.0,298.0,53.87,46.13
ZYDUSLIFE,3228.0,-1492.0,1736.0,46.22,53.78
