id,company_name,website,face_value,book_value,roce_percentage,roe_percentage
BPCL,Bharat Petroleum Corporation Ltd,https://www.bharatpetroleum.in/,10.0,178.0,32.1,41.9
BRITANNIA,Britannia Industries Ltd,https://www.britannia.co.in/,1.0,133.0,48.9,57.1
CANBK,Canara Bank,http://www.canarabank.com/,2.0,102.0,6.63,17.9
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,https://www.cholamandalam.com/,2.0,255.0,10.4,20.2
CIPLA,Cipla Ltd,https://www.cipla.com/,2.0,351.0,22.8,16.8
COALINDIA,Coal India Ltd,http://www.coalindia.in/,10.0,156.0,63.6,52.0
DABUR,Dabur India Ltd,http://www.dabur.com/,1.0,59.0,22.3,19.2
DIVISLAB,Divis Laboratories Ltd,https://www.divislaboratories.com/lander,2.0,517.0,16.5,12.2
DLF,DLF Ltd,https://www.dlf.in/,2.0,163.0,5.74,6.95
DMART,Avenue Supermarts Ltd,http://www.dmartindia.com/,10.0,309.0,19.4,14.5
DRREDDY,Dr Reddys Laboratories Ltd,https://www.drreddys.com/,1.0,369.0,26.5,21.4
EICHERMOT,Eicher Motors Ltd,https://www.eicher.in/,1.0,693.0,31.1,24.2
GAIL,GAIL (India) Ltd,https://gailonline.com/,10.0,127.0,14.7,14.0
